u.id,m.title,actual_rating,m2.id,r2_rating,genres,shared_genres
10,Romancing the Stone (1984),4.0,1197,4.0,"[COMEDY, ADVENTURE, ROMANCE, ACTION]",4
10,Romancing the Stone (1984),4.0,2890,4.0,"[COMEDY, ADVENTURE, ACTION]",3
10,Romancing the Stone (1984),4.0,1101,2.0,"[ROMANCE, ACTION]",2
10,Romancing the Stone (1984),4.0,2826,5.0,"[ADVENTURE, ACTION]",2
10,Romancing the Stone (1984),4.0,1196,4.0,"[ADVENTURE, ACTION]",2
10,Romancing the Stone (1984),4.0,1291,4.0,"[ADVENTURE, ACTION]",2
10,Romancing the Stone (1984),4.0,2344,5.0,"[ADVENTURE, ACTION]",2
10,Romancing the Stone (1984),4.0,1198,4.0,"[ADVENTURE, ACTION]",2
10,Romancing the Stone (1984),4.0,2108,3.0,"[COMEDY, ROMANCE]",2
10,Romancing the Stone (1984),4.0,1887,2.0,"[COMEDY, ADVENTURE]",2
