method,variant,k,limit,RMSE,run time
content-filter ,avg,1,150,1.315,0.171
content-filter ,median,1,150,1.227,0.168
content-filter ,mode,1,150,1.091,0.185
content-filter ,avg,5,150,0.948,0.170
content-filter ,median,5,150,1.227,0.177
content-filter ,mode,5,150,1.091,0.194
content-filter ,avg,10,150,0.932,0.169
content-filter ,median,10,150,1.227,0.169
content-filter ,mode,10,150,1.091,0.173
collective-filter ,bin,1,150,1.277,16.502
collective-filter ,non-normalized,1,150,1.277,16.868
collective-filter ,normalized,1,150,1.239,22.845
collective-filter ,bin,5,150,1.273,17.381
collective-filter ,non-normalized,5,150,1.073,16.954
collective-filter ,normalized,5,150,1.035,23.104
collective-filter ,bin,10,150,1.114,16.804
collective-filter ,non-normalized,10,150,1.026,16.500
collective-filter ,normalized,10,150,1.014,21.273
